Tweet,True,Predicted,Negative,Positive
"Confusion Matrix, row=true, column=predicted  accuracy=0.6608695652173913 most-frequent-tag baseline=0.6434782608695652
       label   0   1  |total
  0 positive  74   .  |74
  1 negative  39   2  |41
"
Instance1,positive,positive,0.0016878892048497916,0.9983121107951501
Instance2,positive,positive,0.20424765571632614,0.7957523442836738
Instance3,negative,positive,0.11496561479272965,0.8850343852072703
Instance4,positive,positive,0.20424765571632614,0.7957523442836738
Instance5,positive,positive,0.11496561479272965,0.8850343852072703
Instance6,positive,positive,0.20424765571632614,0.7957523442836738
Instance7,negative,positive,0.20424765571632614,0.7957523442836738
Instance8,negative,positive,0.14400791289163029,0.8559920871083696
Instance9,negative,positive,7.590078446018284E-4,0.9992409921553982
Instance10,positive,positive,0.003078123381319662,0.9969218766186803
Instance11,positive,positive,0.11496561479272965,0.8850343852072703
Instance12,negative,positive,5.9707854306684994E-5,0.9999402921456932
Instance13,positive,positive,8.963276304412322E-5,0.9999103672369558
Instance14,negative,positive,0.20424765571632614,0.7957523442836738
Instance15,negative,positive,0.025905162549310704,0.9740948374506893
Instance16,negative,positive,0.20424765571632614,0.7957523442836738
Instance17,negative,positive,0.20424765571632614,0.7957523442836738
Instance18,positive,positive,0.20424765571632614,0.7957523442836738
Instance19,positive,positive,3.6384385786578024E-4,0.9996361561421343
Instance20,positive,positive,0.20424765571632614,0.7957523442836738
Instance21,positive,positive,0.11496561479272965,0.8850343852072703
Instance22,positive,positive,0.11496561479272965,0.8850343852072703
Instance23,positive,positive,0.04803310721657008,0.9519668927834299
Instance24,negative,positive,0.11496561479272965,0.8850343852072703
Instance25,negative,positive,0.20424765571632614,0.7957523442836738
Instance26,positive,positive,4.6440461377353344E-5,0.9999535595386227
Instance27,positive,positive,0.0076898747959579265,0.9923101252040419
Instance28,positive,positive,0.20424765571632614,0.7957523442836738
Instance29,negative,positive,0.20424765571632614,0.7957523442836738
Instance30,positive,positive,0.013703917000268842,0.9862960829997311
Instance31,positive,positive,0.1887269788370035,0.8112730211629966
Instance32,positive,positive,0.005601931588802423,0.9943980684111976
Instance33,positive,positive,1.0507369495373951E-4,0.9998949263050463
Instance34,negative,negative,0.502991017428517,0.497008982571483
Instance35,negative,positive,0.010589596432023628,0.9894104035679763
Instance36,positive,positive,0.007002799225805313,0.9929972007741947
Instance37,negative,positive,0.003078123381319662,0.9969218766186803
Instance38,negative,positive,3.326450982969021E-7,0.9999996673549018
Instance39,positive,positive,0.20424765571632614,0.7957523442836738
Instance40,positive,positive,0.20424765571632614,0.7957523442836738
Instance41,positive,positive,0.130093084542844,0.869906915457156
Instance42,positive,positive,8.001080995988683E-5,0.9999199891900402
Instance43,positive,positive,0.11496561479272965,0.8850343852072703
Instance44,positive,positive,0.0015376771838842799,0.9984623228161158
Instance45,positive,positive,0.028337195577238454,0.9716628044227617
Instance46,positive,positive,0.004395554980797839,0.9956044450192021
Instance47,positive,positive,2.8342384883069315E-5,0.9999716576151169
Instance48,positive,positive,4.675097126666674E-6,0.9999953249028734
Instance49,positive,positive,0.20424765571632614,0.7957523442836738
Instance50,positive,positive,1.1191544780592723E-4,0.999888084552194
Instance51,positive,positive,0.20424765571632614,0.7957523442836738
Instance52,positive,positive,0.20424765571632614,0.7957523442836738
Instance53,negative,positive,7.400998116242894E-9,0.9999999925990017
Instance54,positive,positive,0.20424765571632614,0.7957523442836738
Instance55,positive,positive,0.20424765571632614,0.7957523442836738
Instance56,negative,positive,0.0017401390022804412,0.9982598609977196
Instance57,positive,positive,0.011934241218980372,0.9880657587810197
Instance58,positive,positive,0.20424765571632614,0.7957523442836738
Instance59,negative,positive,3.866543964703519E-4,0.9996133456035297
