Tweet,True,Predicted,Negative,Positive
"Confusion Matrix, row=true, column=predicted  accuracy=0.4956521739130435 most-frequent-tag baseline=0.6434782608695652
       label   0   1  |total
  0 negative   2  39  |41
  1 positive  19  55  |74
"
Instance1,positive,negative,0.6528637302008607,0.3471362697991393
Instance2,positive,positive,0.16062305455270817,0.8393769454472918
Instance3,negative,negative,0.6724491541676774,0.32755084583232275
Instance4,positive,positive,0.4614087617680017,0.5385912382319984
Instance5,positive,positive,0.30651581409299433,0.6934841859070057
Instance6,positive,positive,0.16099712715603548,0.8390028728439645
Instance7,negative,positive,0.47439005726746114,0.525609942732539
Instance8,negative,positive,0.2928703639748752,0.7071296360251247
Instance9,negative,positive,0.29334452781861764,0.7066554721813824
Instance10,positive,negative,0.6824330310977326,0.31756696890226743
Instance11,positive,positive,0.4891789754813794,0.5108210245186205
Instance12,negative,positive,0.2940521635975981,0.7059478364024018
Instance13,positive,positive,0.15662066901467137,0.8433793309853287
Instance14,negative,positive,0.2870210078885241,0.7129789921114761
Instance15,negative,positive,0.28521495865732366,0.7147850413426765
Instance16,negative,positive,0.2967864131402576,0.7032135868597423
Instance17,negative,positive,0.29913822251788846,0.7008617774821114
Instance18,positive,positive,0.1600169521995667,0.8399830478004331
Instance19,positive,positive,0.27925471229877435,0.7207452877012256
Instance20,positive,positive,0.4614087617680017,0.5385912382319984
Instance21,positive,positive,0.30651581409299433,0.6934841859070057
Instance22,positive,negative,0.6645761730882083,0.3354238269117917
Instance23,positive,positive,0.29334452781861764,0.7066554721813824
Instance24,negative,negative,0.6536497599124292,0.3463502400875706
Instance25,negative,positive,0.47439005726746114,0.525609942732539
Instance26,positive,positive,0.2930977962942913,0.7069022037057087
Instance27,positive,positive,0.2935838982268742,0.7064161017731255
Instance28,positive,positive,0.47366643029585115,0.5263335697041489
Instance29,negative,positive,0.4729080320318303,0.5270919679681696
Instance30,positive,positive,0.4802834742040006,0.5197165257959994
Instance31,positive,positive,0.48507493056369505,0.514925069436305
Instance32,positive,positive,0.42937460318269627,0.5706253968173037
Instance33,positive,positive,0.28447499179528846,0.7155250082047114
Instance34,negative,positive,0.2933014470151016,0.7066985529848984
Instance35,negative,positive,0.4743124722965103,0.5256875277034897
Instance36,positive,negative,0.6574548341374364,0.34254516586256356
Instance37,negative,positive,0.2924928696164975,0.7075071303835025
Instance38,negative,positive,0.29342949605881086,0.706570503941189
Instance39,positive,positive,0.4725327037681054,0.5274672962318947
Instance40,positive,positive,0.037235589244393456,0.9627644107556066
Instance41,positive,positive,0.46242673510533044,0.5375732648946696
Instance42,positive,negative,0.857444109160476,0.14255589083952405
Instance43,positive,positive,0.4676751412893611,0.5323248587106387
Instance44,positive,negative,0.6458184037030053,0.3541815962969948
Instance45,positive,negative,0.8280551251021324,0.17194487489786783
Instance46,positive,positive,0.47370182575176195,0.5262981742482379
Instance47,positive,positive,0.29173547253653304,0.708264527463467
Instance48,positive,negative,0.8073886762388576,0.19261132376114248
Instance49,positive,positive,0.3011295479170863,0.6988704520829138
Instance50,positive,positive,0.2923383638055569,0.7076616361944431
Instance51,positive,positive,0.47309825593555427,0.5269017440644457
Instance52,positive,positive,0.1608566634664707,0.8391433365335295
Instance53,negative,positive,0.15033793908647705,0.8496620609135231
Instance54,positive,positive,0.29325042566042275,0.7067495743395774
Instance55,positive,positive,0.14486900841344177,0.8551309915865581
Instance56,negative,positive,0.2862447959720822,0.713755204027918
Instance57,positive,positive,0.29399120000877216,0.7060087999912278
Instance58,positive,positive,0.47405496449914186,0.525945035500858
