Tweet,True,Predicted,Negative,Positive
"Confusion Matrix, row=true, column=predicted  accuracy=0.7739130434782608 most-frequent-tag baseline=0.6434782608695652
       label   0   1  |total
  0 negative  16  25  |41
  1 positive   1  73  |74
"
Instance1,positive,positive,2.025874472466278E-4,0.9997974125527535
Instance2,positive,negative,0.9999995504061455,4.495938544840128E-7
Instance3,negative,negative,0.5518280501123607,0.44817194988763936
Instance4,positive,positive,0.011242587476169357,0.9887574125238305
Instance5,positive,positive,5.942634417850398E-9,0.9999999940573656
Instance6,positive,positive,1.0489785087163652E-4,0.9998951021491284
Instance7,negative,positive,0.005829221026140745,0.9941707789738593
Instance8,negative,negative,0.9245751996058366,0.07542480039416352
Instance9,negative,positive,0.4046808387709108,0.5953191612290891
Instance10,positive,positive,5.815762156345595E-6,0.9999941842378436
Instance11,positive,positive,3.534218582365335E-7,0.9999996465781417
Instance12,negative,positive,1.3395194608053309E-6,0.9999986604805393
Instance13,positive,positive,4.9610787449808864E-9,0.9999999950389213
Instance14,negative,negative,0.8321408593262822,0.1678591406737178
Instance15,negative,negative,0.9999848567917512,1.5143208248874056E-5
Instance16,negative,positive,0.022617363443345157,0.9773826365566549
Instance17,negative,positive,0.007687277350442864,0.992312722649557
Instance18,positive,positive,0.0031507803117139022,0.996849219688286
Instance19,positive,positive,3.794446310923588E-8,0.999999962055537
Instance20,positive,positive,0.011242587476169357,0.9887574125238305
Instance21,positive,positive,5.942634417850398E-9,0.9999999940573656
Instance22,positive,positive,1.5092646760113284E-9,0.9999999984907353
Instance23,positive,positive,3.212327527533245E-5,0.9999678767247248
Instance24,negative,positive,0.051359198130080976,0.9486408018699191
Instance25,negative,positive,0.005829221026140745,0.9941707789738593
Instance26,positive,positive,2.3116554929218498E-10,0.9999999997688345
Instance27,positive,positive,4.3545857135525695E-6,0.9999956454142865
Instance28,positive,positive,9.784062459042412E-6,0.999990215937541
Instance29,negative,negative,0.9664662677264283,0.03353373227357165
Instance30,positive,positive,3.0512359094818665E-7,0.999999694876409
Instance31,positive,positive,0.003527483290340029,0.9964725167096601
Instance32,positive,positive,1.843034328534868E-7,0.9999998156965673
Instance33,positive,positive,2.2845591932460146E-4,0.9997715440806755
Instance34,negative,negative,0.9999939758718981,6.024128101869029E-6
Instance35,negative,positive,3.9139783145745596E-8,0.9999999608602168
Instance36,positive,positive,8.990617363619679E-4,0.999100938263638
Instance37,negative,positive,0.03705202487073132,0.9629479751292687
Instance38,negative,positive,3.5160989640063894E-8,0.9999999648390104
Instance39,positive,positive,1.4780158113778842E-4,0.9998521984188623
Instance40,positive,positive,7.564298103992564E-6,0.999992435701896
Instance41,positive,positive,4.0873061208798835E-10,0.9999999995912694
Instance42,positive,positive,9.310467491915348E-14,0.999999999999907
Instance43,positive,positive,1.619016853252276E-4,0.9998380983146749
Instance44,positive,positive,8.294484409257074E-8,0.9999999170551559
Instance45,positive,positive,0.0030921667034397734,0.9969078332965602
Instance46,positive,positive,1.0660736615700844E-6,0.9999989339263385
Instance47,positive,positive,5.462977033831619E-10,0.9999999994537023
Instance48,positive,positive,4.6673464868952796E-8,0.9999999533265351
Instance49,positive,positive,1.9652033881048994E-4,0.9998034796611894
Instance50,positive,positive,2.0574623154817464E-5,0.9999794253768453
Instance51,positive,positive,1.0423206946387676E-7,0.9999998957679306
Instance52,positive,positive,0.062064007128134355,0.9379359928718657
Instance53,negative,positive,2.038406032200463E-11,0.9999999999796159
Instance54,positive,positive,0.008718420738469368,0.9912815792615307
Instance55,positive,positive,7.199411431710014E-4,0.9992800588568289
Instance56,negative,positive,5.416507365708562E-8,0.9999999458349262
Instance57,positive,positive,0.0010623538481195224,0.9989376461518804
Instance58,positive,positive,0.002063571437923363,0.9979364285620766
Instance59,negative,positive,7.087255380110244E-10,0.9999999992912745
Instance60,positive,positive,1.2000401490202505E-4,0.9998799959850979
Instance61,negative,positive,7.347622015653186E-10,0.9999999992652377
Instance62,positive,positive,7.304282254084946E-12,0.9999999999926956
Instance63,negative,positive,0.1769620765626962,0.8230379234373038
Instance64,positive,positive,1.9696149906151875E-13,0.999999999999803
Instance65,positive,positive,0.004631090004004167,0.9953689099959958
Instance66,negative,negative,0.9999999974577805,2.5422194578281513E-9
Instance67,negative,negative,0.9998970083497445,1.0299165025559689E-4
Instance68,positive,positive,5.49781987470101E-4,0.9994502180125299
Instance69,positive,positive,0.004118643760220163,0.9958813562397799
Instance70,positive,positive,1.843034328534868E-7,0.9999998156965673
Instance71,positive,positive,2.2845591932460146E-4,0.9997715440806755
Instance72,negative,negative,0.9999939758718981,6.024128101869029E-6
